# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 25 23:42:45 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# TESS + 2MASS (Vegamags) + Kepler + SDSS <i>griz</i> + DDO51 (in ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,TESSmag,Jmag,Hmag,Ksmag,Keplermag,gmag,rmag,imag,zmag,DDO51_finfmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
0,0.0152,0.015080000000000001,9.0,0.09000000359999999,1.0816895962000002,0.09,-3.384,3.3657,5.191,0,0.0,0.545,0.0,0.0,-1,-4.4299999999999994e-17,0.0,0.7091,0.2756,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,13.23,13.575,11.095,10.497,10.232999999999999,15.639000000000001,18.963,17.256,14.761,13.255999999999998,18.855999999999998,15.274000000000001,18.167,18.214000000000002,13.805
1,0.0152,0.015080000000000001,9.0,0.1000000015,1.1711064576999999,0.1,-3.222,3.3893,5.17,0,0.0,0.545,0.0,0.0,-1,-6.24e-17,0.0,0.7091,0.2757,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,12.825999999999999,13.171,10.692,10.095,9.829,15.234000000000002,18.544,16.845,14.355,12.853,18.43,14.869000000000002,17.754,17.801,13.401
2,0.0152,0.015080000000000001,9.0,0.1200000122,1.3193155527,0.12,-2.975,3.4228,5.135,0,0.0,0.545,0.0,0.0,-1,-1.05e-16,0.0,0.709,0.2757,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,12.208,12.507,10.088,9.492,9.221,14.517000000000001,17.709,16.041,13.632,12.197000000000001,17.570999999999998,14.171,16.936,16.984,12.724
3,0.0152,0.015080000000000001,9.0,0.12296231839999999,1.3385313748999998,0.12300000000000001,-2.948,3.4259,5.131,0,0.0,0.545,0.0,0.0,-1,-1.1000000000000001e-16,0.0,0.709,0.2757,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,12.14,12.414000000000001,10.027999999999999,9.432,9.161,14.392000000000001,17.526,15.87,13.505,12.107999999999999,17.379,14.058,16.76,16.807000000000002,12.622
4,0.0152,0.015080000000000001,9.0,0.1400000006,1.4384527206,0.14,-2.7939999999999996,3.443,5.102,0,0.0,0.545,0.0,0.0,-1,-1.52e-16,0.0,0.7089,0.2758,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,11.755,11.895,9.683,9.087,8.815,13.728,16.565,14.982999999999999,12.833,11.615,16.393,13.443,15.84,15.887,12.065999999999999
5,0.0152,0.015080000000000001,9.0,0.1493837237,1.4869687557,0.149,-2.7260000000000004,3.4495,5.088,0,0.0,0.545,0.0,0.0,-1,-1.75e-16,0.0,0.7089,0.2758,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,11.585,11.675999999999998,9.527999999999999,8.932,8.661,13.457,16.186,14.629000000000001,12.561,11.407,16.006,13.187999999999999,15.475,15.522,11.834000000000001
6,0.0152,0.015080000000000001,9.0,0.1599999964,1.5372931957,0.16,-2.653,3.4565,5.073,0,0.0,0.545,0.0,0.0,-1,-2.0299999999999997e-16,0.0,0.7088,0.2759,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,11.402999999999999,11.445,9.365,8.769,8.499,13.17,15.788,14.244000000000002,12.279000000000002,11.19,15.597000000000001,12.918,15.084000000000001,15.130999999999998,11.589
7,0.0152,0.015080000000000001,9.0,0.200000003,1.6938791275,0.2,-2.438,3.4752,5.03,0,0.0,0.545,0.0,0.0,-1,-3.14e-16,0.0,0.7087,0.276,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,10.865,10.785,8.873,8.276,8.013,12.374,14.72,13.219000000000001,11.507,10.569,14.513,12.161,14.038,14.085,10.898
8,0.0152,0.015080000000000001,9.0,0.25,1.8403258324,0.25,-2.2359999999999998,3.4916,4.9910000000000005,0,0.0,0.545,0.0,0.0,-1,-4.67e-16,0.0,0.7086,0.2761,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,10.36,10.186,8.41,7.812,7.558,11.662,13.8,12.315,10.827,10.009,13.572000000000001,11.478,13.126,13.173,10.274000000000001
9,0.0152,0.015080000000000001,9.0,0.313580513,1.9793373346,0.314,-2.035,3.5051,4.941,0,0.0,0.545,0.0,0.0,-1,-7.02e-16,0.0,0.7089,0.2759,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,9.856,9.62,7.937,7.336,7.091,11.020999999999999,13.012,11.562999999999999,10.216000000000001,9.472000000000001,12.788,10.856,12.359000000000002,12.405,9.693999999999999
10,0.0152,0.015080000000000001,9.0,0.3194212019,1.9902480840999999,0.319,-2.016,3.5062,4.935,0,0.0,0.545,0.0,0.0,-1,-7.309999999999999e-16,0.0,0.7089,0.2758,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,9.81,9.568999999999999,7.894,7.292000000000001,7.047999999999999,10.964,12.943,11.497,10.161,9.423,12.719000000000001,10.8,12.292,12.338,9.642000000000001
11,0.0152,0.015080000000000001,9.0,0.346612215,2.0378298759,0.34700000000000003,-1.9380000000000002,3.5118,4.916,0,0.0,0.545,0.0,0.0,-1,-8.59e-16,0.0,0.7091,0.2756,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,9.616,9.351,7.712999999999999,7.109,6.869,10.717,12.64,11.208,9.926,9.218,12.418,10.559000000000001,11.997,12.043,9.419
12,0.0152,0.015080000000000001,9.0,0.3500000238,2.0434176922,0.35,-1.929,3.5125,4.913,0,0.0,0.545,0.0,0.0,-1,-8.75e-16,0.0,0.7091,0.2756,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,9.593,9.326,7.692,7.087999999999999,6.848,10.687999999999999,12.605,11.174000000000001,9.899,9.193999999999999,12.383,10.530999999999999,11.962,12.009,9.392999999999999
13,0.0152,0.015080000000000001,9.0,0.4000000358,2.1185026169,0.4,-1.781,3.5233,4.8660000000000005,0,0.0,0.545,0.0,0.0,-1,-1.22e-15,0.0,0.7092,0.2755,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,9.221,8.915,7.347,6.736000000000001,6.502999999999999,10.224,12.044,10.638,9.459,8.806000000000001,11.825,10.078,11.415999999999999,11.462,8.972000000000001
14,0.0152,0.015080000000000001,9.0,0.4500000477,2.1822810173,0.45,-1.631,3.5353,4.815,0,0.0,0.545,0.0,0.0,-1,-1.72e-15,0.0,0.7092,0.2755,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,8.847000000000001,8.501,7.002999999999999,6.382999999999999,6.156000000000001,9.757,11.481,10.103,9.017999999999999,8.419,11.275,9.622,10.87,10.915999999999999,8.55
15,0.0152,0.015080000000000001,9.0,0.5,2.2374541759,0.5,-1.476,3.5498,4.763999999999999,0,0.0,0.545,0.0,0.0,-1,-2.47e-15,0.0,0.7092,0.2755,0.002746,0.0007407999999999999,0.006719,-1.0,0.015269999999999999,8.459,8.072000000000001,6.652,6.022,5.8020000000000005,9.266,10.892000000000001,9.538,8.56,8.021,10.707,9.144,10.295,10.342,8.111
16,0.0152,0.015080000000000001,9.0,0.5093277693,2.2468676566999997,0.509,-1.444,3.5535,4.755,0,0.0,0.545,0.0,0.0,-1,-2.6600000000000002e-15,0.0,0.7095,0.2753,0.0027429999999999998,0.0007400999999999999,0.006712,-1.0,0.01526,8.381,7.983,6.584,5.952000000000001,5.733,9.162,10.765999999999998,9.415,8.466000000000001,7.941,10.585999999999999,9.043,10.171,10.218,8.021
